ADDRESS,LATITUDE,LONGITUDE,ALTITUDE,ALTITUDE IN,2030 Med,Damage 2030,Damage Done 30,2060 Med,Damage 2060,Damage Done 60,LOT SIZE,CITY,COUNTY,LIST PRICE,ZIP CODE,year
788 NE 74 ST,25.855374,-80.193103,5,60,11,102517.6733,646482.3267,21,227496.1828,521503.8172,10695.63624,Miami,Miami-Dade County,749000,33138,2015
540 W 50 ST,25.826155,-80.12768,3.8,45.6,11,102517.6733,646482.3267,21,227496.1828,521503.8172,10695.63624,Miami Beach,Miami-Dade County,749000,33140,2014
3185 ROYAL PALM AV,25.809016,-80.129604,2.599999905,31.19999886,11,102517.6733,643481.3267,21,227496.1828,518502.8172,10695.63624,Miami,Miami-Dade County,745999,33140,2014
7504 Hispanola Ave,25.84495,-80.150749,0.3000000119,3.600000143,11,68436.9,676563.1,21,151867.8,593132.2,7140,North Bay Village,Miami-Dade County,745000,33141,2019
4618 ALTON RD,25.822397,-80.136093,5,60,11,102517.6733,642482.3267,21,227496.1828,517503.8172,10695.63624,Miami Beach,Miami-Dade County,745000,33140,2014
538 NE 74th St,25.842928,-80.185672,5,60,11,69491.25,669508.75,21,154207.5,584792.5,7250,Miami,Miami-Dade County,739000,33138,2019
451 NE 91st St,25.859133,-80.188091,13.9,166.8,11,91297.125,647702.875,21,202596.75,536403.25,9525,Miami Shores,Miami-Dade County,739000,33138,2019
750 NE 74th St,25.843169,-80.180894,13.9,166.8,11,102517.6733,636482.3267,21,227496.1828,511503.8172,10695.63624,Miami,Miami-Dade County,739000,33138,2016
735 S SHORE DR,25.855357,-80.139542,5,60,11,77120.91,660879.09,21,171138.42,566861.58,8046,Miami Beach,Miami-Dade County,738000,33141,2016
112 NE 48 ST,25.813153,-80.191714,13.89999962,166.7999954,11,102517.6733,632482.3267,21,227496.1828,507503.8172,10695.63624,Miami,Miami-Dade County,735000,33137,2015
651 NE 69 St,25.855374,-80.193103,5,60,11,71887.5,663112.5,21,159525,575475,7500,Miami,Miami-Dade County,735000,33138,2017
990 NE 89th Ter,25.857695,-80.177165,5,60,11,103402.98,631597.02,21,229460.76,505539.24,10788,Miami,Miami-Dade County,735000,33138,2016
1080 NE 92nd St,25.860209,-80.1754,7.1,85.2,11,84376.755,645623.245,21,187239.81,542760.19,8803,Miami Shores,Miami-Dade County,730000,33138,2018
1060 NE 92nd St,25.860194,-80.175886,0.3,3.6,11,90482.4,639417.6,21,200788.8,529111.2,9440,Miami Shores,Miami-Dade County,729900,33138,2017
425 NE 93rd St,25.861033,-80.18875,5,60,11,92016,636984,21,204192,524808,9600,Miami Shores,Miami-Dade County,729000,33138,2019
711 NE 72 TER,25.855374,-80.193103,5,60,11,102517.6733,626482.3267,21,227496.1828,501503.8172,10695.63624,Miami,Miami-Dade County,729000,33138,2019
700 NE 72 TE,25.855374,-80.193103,5,60,11,102517.6733,626482.3267,21,227496.1828,501503.8172,10695.63624,Miami,Miami-Dade County,729000,33138,2016
4610 Alton Rd,25.822246,-80.136167,2,24,11,102517.6733,626482.3267,21,227496.1828,501503.8172,10695.63624,Miami Beach,Miami-Dade County,729000,33140,2016
1059 NE 88th St,25.856205,-80.175342,13.9,166.8,11,59570.775,665429.225,21,132193.05,592806.95,6215,Miami,Miami-Dade County,725000,33138,2017
665 Fairway Dr,25.860195,-80.138813,13.9,166.8,11,69012,655988,21,153144,571856,7200,Miami Beach,Miami-Dade County,725000,33141,2016
881 NE 71st St,25.840714,-80.178429,5,60,11,71887.5,653112.5,21,159525,565475,7500,Miami,Miami-Dade County,725000,33138,2016
410 NE 94th St,25.861407,-80.188986,0.4,4.8,11,122688,601812,21,272256,452244,12800,Miami Shores,Miami-Dade County,724500,33138,2019
242 NE 89th St,25.856576,-80.192139,0.3,3.6,11,114109.425,605890.575,21,253219.35,466780.65,11905,El Portal,Miami-Dade County,720000,33138,2017
441 NE 53 ST,25.813153,-80.191714,13.89999962,166.7999954,11,102517.6733,617482.3267,21,227496.1828,492503.8172,10695.63624,Miami,Miami-Dade County,720000,33137,2014
1791 Biarritz Dr,25.850764,-80.138867,3.6,43.2,11,59906.25,659093.75,21,132937.5,586062.5,6250,Miami Beach,Miami-Dade County,719000,33141,2017
1785 BIARRITZ DR,25.85077,-80.138713,3.299999952,39.59999943,11,102517.6733,612382.3267,21,227496.1828,487403.8172,10695.63624,Miami Beach,Miami-Dade County,714900,33141,2016
695 NE 71st St,25.840607,-80.182342,0.7,8.4,11,86265,628235,21,191430,523070,9000,Miami,Miami-Dade County,714500,33138,2019
1245 NE 90 ST,25.855374,-80.193103,5,60,11,102517.6733,608482.3267,21,227496.1828,483503.8172,10695.63624,Miami,Miami-Dade County,711000,33138,2015
467 NE 55th Ter,25.827177,-80.185518,2.9,34.8,11,58660.2,650339.8,21,130172.4,578827.6,6120,Miami,Miami-Dade County,709000,33137,2018
9350 NE 9th Ave,25.86192,-80.179579,5,60,11,86983.875,613016.125,21,193025.25,506974.75,9075,Miami Shores,Miami-Dade County,700000,33138,2019
1500 N Treasure Dr,25.847021,-80.153742,5,60,11,68436.9,631562.1,21,151867.8,548131.2,7140,North Bay Village,Miami-Dade County,699999,33141,2018
897 NE 91st Ter,25.859743,-80.179165,5,60,11,100642.5,599356.5,21,223335,476664,10500,Miami Shores,Miami-Dade County,699999,33138,2017
726 NE 72nd Ter,25.841584,-80.181475,13.9,166.8,11,57510,642390,21,127620,572280,6000,Miami,Miami-Dade County,699900,33138,2019
163 N Shore Dr,25.859382,-80.130154,2.2,26.4,11,102517.6733,597382.3267,21,227496.1828,472403.8172,10695.63624,Miami Beach,Miami-Dade County,699900,33141,2018
679 NE 75th St,25.844333,-80.18302,7.8,93.6,11,102517.6733,597382.3267,21,227496.1828,472403.8172,10695.63624,Miami,Miami-Dade County,699900,33138,2016
1375 MARSEILLE DR,25.855545,-80.134683,5,60,11,102517.6733,597382.3267,21,227496.1828,472403.8172,10695.63624,Miami Beach,Miami-Dade County,699900,33141,2014
7600 Center Bay Dr,25.846181,-80.159138,1.6,19.2,11,76680,622820,21,170160,529340,8000,North Bay Village,Miami-Dade County,699500,33141,2017
86 NE 47 ST,25.813153,-80.191714,13.89999962,166.7999954,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami,Miami-Dade County,699000,33137,2015
676 NE 73rd St,25.842331,-80.182613,5,60,11,62206.65,636793.35,21,138042.3,560957.7,6490,Miami,Miami-Dade County,699000,33138,2019
925 S Shore Dr,25.85517,-80.142751,3.4,40.8,11,72040.86,626959.14,21,159865.32,539134.68,7516,Miami Beach,Miami-Dade County,699000,33141,2018
675 NE 67 St,25.855374,-80.193103,5,60,11,55113.75,643886.25,21,122302.5,576697.5,5750,Miami,Miami-Dade County,699000,33138,2018
433 NE 91st St,25.859124,-80.188345,13.9,166.8,11,91297.125,607702.875,21,202596.75,496403.25,9525,Miami Shores,Miami-Dade County,699000,33138,2018
945 NE 89th Ter,25.858025,-80.177799,13.9,166.8,11,82670.625,616329.375,21,183453.75,515546.25,8625,Miami,Miami-Dade County,699000,33138,2018
4550 Sheridan Ave,25.82041,-80.126419,6.4,76.8,11,64219.5,634780.5,21,142509,556491,6700,Miami Beach,Miami-Dade County,699000,33140,2017
430 NE 51st St,25.822781,-80.18574,8.9,106.8,11,77638.5,621361.5,21,172287,526713,8100,Miami,Miami-Dade County,699000,33137,2017
1250 NE 91st Ter,25.859513,-80.172194,13.5,162,11,101840.625,597159.375,21,225993.75,473006.25,10625,Miami Shores,Miami-Dade County,699000,33138,2017
590 N SHORE DR,25.860569,-80.137441,13.9,166.8,11,69012,629988,21,153144,545856,7200,Miami Beach,Miami-Dade County,699000,33141,2016
960 NE 85 St,25.855374,-80.193103,5,60,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami,Miami-Dade County,699000,33138,2016
750 NE 77th Ter,25.84623,-80.180843,13.9,166.8,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami,Miami-Dade County,699000,33138,2016
951 NE 83 ST,25.855374,-80.193103,5,60,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami,Miami-Dade County,699000,33138,2016
528 NE 72nd St,25.840977,-80.185868,0.6,7.2,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami,Miami-Dade County,699000,33138,2016
751 W 51st St,25.827498,-80.130193,1.8,21.6,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami Beach,Miami-Dade County,699000,33140,2016
431 NE 52 STREET,25.813153,-80.191714,13.89999962,166.7999954,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami,Miami-Dade County,699000,33137,2016
910 NE 78 ST,25.855374,-80.193103,5,60,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami,Miami-Dade County,699000,33138,2015
4212 SHERIDAN AV,25.815052,-80.127673,5,60,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami Beach,Miami-Dade County,699000,33140,2015
9150 N BAYSHORE DR,25.86,-80.171966,0.3,3.6,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami Shores,Miami-Dade County,699000,33138,2015
423 NE 92 ST,25.863152,-80.192825,7.099999905,85.19999886,11,102517.6733,596482.3267,21,227496.1828,471503.8172,10695.63624,Miami Shores,Miami-Dade County,699000,33138,2014
695 NE 71st St,25.840607,-80.182342,0.3,3.6,11,102517.6733,595482.3267,21,227496.1828,470503.8172,10695.63624,Miami,Miami-Dade County,698000,33138,2016
9312 NE 9th PL,25.861338,-80.178664,4.7,56.4,11,102517.6733,595482.3267,21,227496.1828,470503.8172,10695.63624,Miami Shores,Miami-Dade County,698000,33138,2016
754 NE 81st St,25.849305,-80.180938,7.5,90,11,54826.2,640173.8,21,121664.4,573335.6,5720,Miami,Miami-Dade County,695000,33138,2017
870 W 43rd Ct,25.816466,-80.13428,5,60,11,60385.5,634614.5,21,134001,560999,6300,Miami Beach,Miami-Dade County,695000,33140,2017
921 NE 82nd Ter,25.851137,-80.177605,5.1,61.2,11,102517.6733,592482.3267,21,227496.1828,467503.8172,10695.63624,Miami,Miami-Dade County,695000,33138,2016
445 W 42 ST,25.8151,-80.128345,13.9,166.8,11,102517.6733,592482.3267,21,227496.1828,467503.8172,10695.63624,Miami Beach,Miami-Dade County,695000,33140,2015
870 N SHORE DR,25.859809,-80.142031,13.4,160.8,11,102517.6733,592482.3267,21,227496.1828,467503.8172,10695.63624,Miami Beach,Miami-Dade County,695000,33141,2015
701 NE 81 ST,25.855374,-80.193103,5,60,11,102517.6733,592482.3267,21,227496.1828,467503.8172,10695.63624,Miami,Miami-Dade County,695000,33138,2014
345 FAIRWAY DR,25.860363,-80.133726,7.1,85.2,11,102517.6733,592482.3267,21,227496.1828,467503.8172,10695.63624,Miami Beach,Miami-Dade County,695000,33141,2014
193 N SHORE DR,25.859934,-80.130628,0.9,10.8,11,102517.6733,591482.3267,21,227496.1828,466503.8172,10695.63624,Miami Beach,Miami-Dade County,694000,33141,2017
163 N Shore Dr,25.859382,-80.130154,6.4,76.8,11,102517.6733,587482.3267,21,227496.1828,462503.8172,10695.63624,Miami Beach,Miami-Dade County,690000,33141,2017
1320 Marseille Dr,25.855497,-80.133671,4.1,49.2,11,102517.6733,587482.3267,21,227496.1828,462503.8172,10695.63624,Miami Beach,Miami-Dade County,690000,33141,2016
6301 COLLINS AV,25.844651,-80.120029,2.6,31.2,11,102517.6733,587482.3267,21,227496.1828,462503.8172,10695.63624,Miami Beach,Miami-Dade County,690000,33141,2015
764 NE 76th St,25.844816,-80.180617,0,0,11,59906.25,629593.75,21,132937.5,556562.5,6250,Miami,Miami-Dade County,689500,33138,2017
821 NE 71st St,25.840683,-80.179561,1.2,14.4,11,71887.5,617112.5,21,159525,529475,7500,Miami,Miami-Dade County,689000,33138,2019
740 NE 71st St,25.840144,-80.181596,0.3,3.6,11,89859.375,599140.625,21,199406.25,489593.75,9375,Miami,Miami-Dade County,689000,33138,2018
525 NE 92nd St,25.860132,-80.186704,7.1,85.2,11,92016,596984,21,204192,484808,9600,Miami Shores,Miami-Dade County,689000,33138,2018
651 NE 69 ST,25.855374,-80.193103,5,60,11,102517.6733,586482.3267,21,227496.1828,461503.8172,10695.63624,Miami,Miami-Dade County,689000,33138,2014
5850 Alton Rd,25.840006,-80.131371,5,60,11,71168.625,616331.375,21,157929.75,529570.25,7425,Miami Beach,Miami-Dade County,687500,33140,2018
4200 NE 1st Ave,25.815098,-80.193659,0.3,3.6,11,47925,637075,21,106350,578650,5000,Miami,Miami-Dade County,685000,33137,2019
7621 Miami View Dr,25.845956,-80.15969,3.9,46.8,11,73804.5,611195.5,21,163779,521221,7700,North Bay Village,Miami-Dade County,685000,33141,2018
1160 NE 91st Ter,25.85946,-80.173805,7.1,85.2,11,101840.625,583159.375,21,225993.75,459006.25,10625,Miami Shores,Miami-Dade County,685000,33138,2018
653 NE 73 ST,25.855374,-80.193103,5,60,11,102517.6733,582482.3267,21,227496.1828,457503.8172,10695.63624,Miami,Miami-Dade County,685000,33138,2015
698 NE 67 ST,25.855374,-80.193103,5,60,11,102517.6733,582482.3267,21,227496.1828,457503.8172,10695.63624,Miami,Miami-Dade County,685000,33138,2015
303 Fairway Dr,25.860383,-80.133187,2.8,33.6,11,102517.6733,582481.3267,21,227496.1828,457502.8172,10695.63624,Miami Beach,Miami-Dade County,684999,33141,2016
798 NE 70th St,25.839538,-80.180355,4.1,49.2,11,103518,576482,21,229716,450284,10800,Miami,Miami-Dade County,680000,33138,2019
958 NE 84th St,25.852804,-80.177728,3.1,37.2,11,189207.9,490792.1,21,419869.8,260130.2,19740,Miami,Miami-Dade County,680000,33138,2018
7700 Coquina Dr,25.846841,-80.158372,2.5,30,11,76680,603320,21,170160,509840,8000,North Bay Village,Miami-Dade County,680000,33141,2018
485 NE 92nd St,25.860112,-80.18737,1.3,15.6,11,102517.6733,577482.3267,21,227496.1828,452503.8172,10695.63624,Miami Shores,Miami-Dade County,680000,33138,2016
1831 BAY DR,25.849929,-80.139558,5,60,11,102517.6733,577482.3267,21,227496.1828,452503.8172,10695.63624,Miami Beach,Miami-Dade County,680000,33141,2015
121 NE 46 ST,25.813153,-80.191714,13.89999962,166.7999954,11,102517.6733,577382.3267,21,227496.1828,452403.8172,10695.63624,Miami,Miami-Dade County,679900,33137,2015
5928 NE 5th Ave,25.830677,-80.186137,13.9,166.8,11,74034.54,605865.46,21,164289.48,515610.52,7724,Miami,Miami-Dade County,679900,33137,2018
1556 71st St,25.851889,-80.135758,5,60,11,61756.155,618143.845,21,137042.61,542857.39,6443,Miami Beach,Miami-Dade County,679900,33141,2017
763 NE 74th St,25.843603,-80.180603,7.1,85.2,11,67861.8,611138.2,21,150591.6,528408.4,7080,Miami,Miami-Dade County,679000,33138,2018
1225 NE 93rd St,25.861595,-80.173962,0.1,1.2,11,94172.625,584827.375,21,208977.75,470022.25,9825,Miami Shores,Miami-Dade County,679000,33138,2017
813 NE 72nd St,25.84132,-80.179971,2,24,11,71887.5,607112.5,21,159525,519475,7500,Miami,Miami-Dade County,679000,33138,2016
726 NE 73 ST,25.855374,-80.193103,5,60,11,102517.6733,576482.3267,21,227496.1828,451503.8172,10695.63624,Miami,Miami-Dade County,679000,33138,2015
193 N SHORE DR,25.859934,-80.130628,4,48,11,102517.6733,576482.3267,21,227496.1828,451503.8172,10695.63624,Miami Beach,Miami-Dade County,679000,33141,2014
635 NE 56 ST,25.813153,-80.191714,13.89999962,166.7999954,11,102517.6733,576482.3267,21,227496.1828,451503.8172,10695.63624,Miami,Miami-Dade County,679000,33137,2014
8120 NE 12th Ave,25.850227,-80.174117,5,60,11,70641.45,604358.55,21,156759.9,518240.1,7370,Miami,Miami-Dade County,675000,33138,2018
4700 Alton Rd,25.82316,-80.135718,0.3,3.6,11,57510,617490,21,127620,547380,6000,Miami Beach,Miami-Dade County,675000,33140,2017
7534 NE 6 Ct.,25.844776,-80.18374,4.699999809,56.39999771,11,41694.75,633305.25,21,92524.5,582475.5,4350,Miami,Miami-Dade County,675000,33138,2017
800 NE 76th St,25.844688,-80.179517,1,12,11,129934.26,545065.74,21,288336.12,386663.88,13556,Miami,Miami-Dade County,675000,33138,2017
4550 Sheridan Ave,25.82041,-80.126419,0.3,3.6,11,64219.5,610780.5,21,142509,532491,6700,Miami Beach,Miami-Dade County,675000,33140,2016
9007 NE 10th Ave,25.858784,-80.176671,7.1,85.2,11,102517.6733,572482.3267,21,227496.1828,447503.8172,10695.63624,Miami,Miami-Dade County,675000,33138,2016
751 Fairway Dr,25.860077,-80.140185,0.6,7.2,11,71484.93,603515.07,21,158631.66,516368.34,7458,Miami Beach,Miami-Dade County,675000,33141,2015
810 NE 74 ST,25.855374,-80.193103,5,60,11,102517.6733,572482.3267,21,227496.1828,447503.8172,10695.63624,Miami,Miami-Dade County,675000,33138,2015
7400 NE 8th Ave,25.843675,-80.179971,13.9,166.8,11,73123.965,600276.035,21,162268.83,511131.17,7629,Miami,Miami-Dade County,673400,33138,2018
1116 NE 92 ST,25.863152,-80.192825,7.099999905,85.19999886,11,102517.6733,567382.3267,21,227496.1828,442403.8172,10695.63624,Miami Shores,Miami-Dade County,669900,33138,2015
7530 NE 7th Ct,25.844797,-80.181261,3.6,43.2,11,61257.735,607742.265,21,135936.57,533063.43,6391,Miami,Miami-Dade County,669000,33138,2016
860 N Shore Dr,25.859895,-80.141857,5,60,11,71206.965,597793.035,21,158014.83,510985.17,7429,Miami Beach,Miami-Dade County,669000,33141,2016
4315 N BAY RD,25.816211,-80.137914,0.3,3.6,11,102517.6733,565282.3267,21,227496.1828,440303.8172,10695.63624,Miami Beach,Miami-Dade County,667800,33140,2016
890 W 43rd Ct,25.81653,-80.134446,3.4,40.8,11,60385.5,606514.5,21,134001,532899,6300,Miami Beach,Miami-Dade County,666900,33140,2019
739 NE 74th St,25.843581,-80.181214,7.1,85.2,11,56551.5,603448.5,21,125493,534507,5900,Miami,Miami-Dade County,660000,33138,2017
404 N SHORE DR,25.860661,-80.134663,0.4,4.8,11,102517.6733,557482.3267,21,227496.1828,432503.8172,10695.63624,Miami Beach,Miami-Dade County,660000,33141,2015
645 NE 70th St,25.839782,-80.183491,2.4,28.8,11,51759,608141,21,114858,545042,5400,Miami,Miami-Dade County,659900,33138,2019
4412 NE 1st AVE,25.816562,-80.193797,13.9,166.8,11,102517.6733,556482.3267,21,227496.1828,431503.8172,10695.63624,Miami,Miami-Dade County,659000,33137,2016
163 N Shore Dr,25.859382,-80.130154,3.6,43.2,11,102517.6733,556482.3267,21,227496.1828,431503.8172,10695.63624,Miami Beach,Miami-Dade County,659000,33141,2019
871 NE 83 St,25.855374,-80.193103,5,60,11,204275.52,454724.48,21,453306.24,205693.76,21312,Miami,Miami-Dade County,659000,33138,2018
534 NE 92 ST,25.863152,-80.192825,7.099999905,85.19999886,11,102517.6733,556482.3267,21,227496.1828,431503.8172,10695.63624,Miami Shores,Miami-Dade County,659000,33138,2015
714 NE 74th St,25.843137,-80.181812,13.9,166.8,11,56551.5,601448.5,21,125493,532507,5900,Miami,Miami-Dade County,658000,33138,2017
560 N SHORE DR,25.860585,-80.136913,13.9,166.8,11,102517.6733,554482.3267,21,227496.1828,429503.8172,10695.63624,Miami Beach,Miami-Dade County,657000,33141,2014
714 NE 70th St,25.839492,-80.182103,7.5,90,11,102517.6733,551482.3267,21,227496.1828,426503.8172,10695.63624,Miami,Miami-Dade County,654000,33138,2016
215 FAIRWAY DR,25.859985,-80.131651,13.9,166.8,11,102517.6733,548057.3267,21,227496.1828,423078.8172,10695.63624,Miami Beach,Miami-Dade County,650575,33141,2014
646 NE 83rd St,25.851391,-80.183732,13.9,166.8,11,53244.675,596755.325,21,118154.85,531845.15,5555,Miami,Miami-Dade County,650000,33138,2018
888 NE 71 St,25.855374,-80.193103,5,60,11,119812.5,530187.5,21,265875,384125,12500,Miami,Miami-Dade County,650000,33138,2017
631 NE 72nd St,25.841228,-80.183365,1.1,13.2,11,71887.5,578112.5,21,159525,490475,7500,Miami,Miami-Dade County,650000,33138,2016
5195 NE 5th Ave,25.823485,-80.184435,2.1,25.2,11,79076.25,570923.75,21,175477.5,474522.5,8250,Miami,Miami-Dade County,650000,33137,2016
1605 BIARRITZ DR,25.851395,-80.136019,5,60,11,102517.6733,547482.3267,21,227496.1828,422503.8172,10695.63624,Miami Beach,Miami-Dade County,650000,33141,2016
9341 NE 9th Ave,25.861725,-80.17906,2.4,28.8,11,92016,557984,21,204192,445808,9600,Miami Shores,Miami-Dade County,650000,33138,2016
1080 NE 86th St,25.854351,-80.175009,13.9,166.8,11,102517.6733,547482.3267,21,227496.1828,422503.8172,10695.63624,Miami,Miami-Dade County,650000,33138,2016
899 NE 71st St,25.840727,-80.177978,2,24,11,102517.6733,547482.3267,21,227496.1828,422503.8172,10695.63624,Miami,Miami-Dade County,650000,33138,2016
8925 NE 9 CT,25.857677,-80.177799,7.1,85.2,11,102517.6733,547482.3267,21,227496.1828,422503.8172,10695.63624,Miami,Miami-Dade County,650000,33138,2015
1136 NE 88 ST,25.855374,-80.193103,5,60,11,102517.6733,547482.3267,21,227496.1828,422503.8172,10695.63624,Miami,Miami-Dade County,650000,33138,2015
7444 GARY AV,25.859978,-80.128522,-0.1000000015,-1.200000018,11,102517.6733,547482.3267,21,227496.1828,422503.8172,10695.63624,Miami Beach,Miami-Dade County,650000,33141,2014
764 NE 74 ST,25.855374,-80.193103,5,60,11,102517.6733,547382.3267,21,227496.1828,422403.8172,10695.63624,Miami,Miami-Dade County,649900,33138,2018
1156 NE 88th St,25.856238,-80.173869,7.3,87.6,11,83063.61,566836.39,21,184325.82,465574.18,8666,Miami,Miami-Dade County,649900,33138,2018
667 NE 69th St,25.83908,-80.182924,13.9,166.8,11,71887.5,578012.5,21,159525,490375,7500,Miami,Miami-Dade County,649900,33138,2016
900 NE 72 TE,25.855374,-80.193103,5,60,11,102517.6733,547382.3267,21,227496.1828,422403.8172,10695.63624,Miami,Miami-Dade County,649900,33138,2015
674 NE 75 ST,25.855374,-80.193103,5,60,11,102517.6733,547382.3267,21,227496.1828,422403.8172,10695.63624,Miami,Miami-Dade County,649900,33138,2015
298 NE 91st St,25.85847,-80.191399,5,60,11,130346.415,519153.585,21,289250.73,360249.27,13599,Miami Shores,Miami-Dade County,649500,33138,2018
1001 S Shore Dr,25.854653,-80.144462,7.1,85.2,11,60385.5,588614.5,21,134001,514999,6300,Miami Beach,Miami-Dade County,649000,33141,2019
389 NE 85 St,25.863152,-80.192825,7.099999905,85.19999886,11,59427,589573,21,131874,517126,6200,El Portal,Miami-Dade County,649000,33138,2019
455 NE 39th St,25.813917,-80.187416,13.9,166.8,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami,Miami-Dade County,649000,33137,2019
7700 Beachview Dr.,25.84671,-80.157341,2,24,11,76680,572320,21,170160,478840,8000,North Bay Village,Miami-Dade County,649000,33141,2019
635 NE 71st St,25.840519,-80.183528,7.1,85.2,11,71887.5,577112.5,21,159525,489475,7500,Miami,Miami-Dade County,649000,33138,2018
596 W 50th St,25.826115,-80.128738,6.4,76.8,11,61823.25,587176.75,21,137191.5,511808.5,6450,Miami Beach,Miami-Dade County,649000,33140,2018
1730 71st St,25.851164,-80.137944,4.6,55.2,11,62302.5,586697.5,21,138255,510745,6500,Miami Beach,Miami-Dade County,649000,33141,2018
952 NE 91st Ter,25.859358,-80.177957,7.1,85.2,11,106757.73,542242.27,21,236905.26,412094.74,11138,Miami Shores,Miami-Dade County,649000,33138,2018
775 NE 72nd Ter,25.842085,-80.180212,5,60,11,56551.5,592448.5,21,125493,523507,5900,Miami,Miami-Dade County,649000,33138,2017
769 NE 73rd St,25.842819,-80.180374,13.9,166.8,11,84827.25,564172.75,21,188239.5,460760.5,8850,Miami,Miami-Dade County,649000,33138,2017
7513 ADVENTURE AV,25.845195,-80.153689,13.9,166.8,11,73804.5,575195.5,21,163779,485221,7700,North Bay Village,Miami-Dade County,649000,33141,2017
287 NE 90th St,25.858099,-80.191454,6.3,75.6,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,El Portal,Miami-Dade County,649000,33138,2016
525 NE 50th Ter,25.822526,-80.183875,3.3,39.6,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami,Miami-Dade County,649000,33137,2016
7625 NE 7th Ct,25.845658,-80.180958,5,60,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami,Miami-Dade County,649000,33138,2016
166 NE 93rd St,25.860291,-80.193979,5,60,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami Shores,Miami-Dade County,649000,33138,2016
580 N SHORE DR.,25.860574,-80.137268,5,60,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami Beach,Miami-Dade County,649000,33141,2016
846 RAYMOND ST,25.857388,-80.127387,0.3,3.6,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami Beach,Miami-Dade County,649000,33141,2016
698 NE 69 ST,25.855374,-80.193103,5,60,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami,Miami-Dade County,649000,33138,2015
728 NE 72 ST,25.855374,-80.193103,5,60,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami,Miami-Dade County,649000,33138,2015
1200 NE 94 ST,25.863152,-80.192825,7.099999905,85.19999886,11,102517.6733,546482.3267,21,227496.1828,421503.8172,10695.63624,Miami Shores,Miami-Dade County,649000,33138,2014
1345 BAY DR,25.852491,-80.132743,0.6,7.2,11,102517.6733,545482.3267,21,227496.1828,420503.8172,10695.63624,Miami Beach,Miami-Dade County,648000,33141,2014
1220 NE 88 ST,25.855374,-80.193103,5,60,11,102517.6733,545382.3267,21,227496.1828,420403.8172,10695.63624,Miami,Miami-Dade County,647900,33138,2015
390 NE 91st St,25.858533,-80.189343,5,60,11,97048.125,548951.875,21,215358.75,430641.25,10125,Miami Shores,Miami-Dade County,646000,33138,2017
1168 NE 88 St,25.855374,-80.193103,5,60,11,74791.755,570208.245,21,165969.81,479030.19,7803,Miami,Miami-Dade County,645000,33138,2018
696 NE 67th St,25.837163,-80.182435,13.9,166.8,11,102517.6733,542482.3267,21,227496.1828,417503.8172,10695.63624,Miami,Miami-Dade County,645000,33138,2016
401 NE 86th St,25.854547,-80.188839,7.6,91.2,11,53033.805,586966.195,21,117686.91,522313.09,5533,El Portal,Miami-Dade County,640000,33138,2019
530 W 40 ST,25.812834,-80.130107,5.7,68.4,11,102517.6733,537482.3267,21,227496.1828,412503.8172,10695.63624,Miami Beach,Miami-Dade County,640000,33140,2014
8260 E Dixie hwy,25.851332,-80.182491,0.3,3.6,11,149526,490374,21,331812,308088,15600,Miami,Miami-Dade County,639900,33138,2017
250 NE 91 ST,25.863152,-80.192825,7.099999905,85.19999886,11,102517.6733,536482.3267,21,227496.1828,411503.8172,10695.63624,Miami Shores,Miami-Dade County,639000,33138,2015
7821 Coquina Dr,25.848046,-80.157942,5,60,11,73804.5,565195.5,21,163779,475221,7700,North Bay Village,Miami-Dade County,639000,33141,2017
846 Raymond St,25.857388,-80.127387,7.1,85.2,11,102517.6733,536482.3267,21,227496.1828,411503.8172,10695.63624,Miami Beach,Miami-Dade County,639000,33141,2016
265 NE 92nd St,25.859967,-80.191885,13.9,166.8,11,98150.4,540849.6,21,217804.8,421195.2,10240,Miami Shores,Miami-Dade County,639000,33138,2016
8320 E DIXIE HY,25.852086,-80.181683,5,60,11,102517.6733,536482.3267,21,227496.1828,411503.8172,10695.63624,Miami,Miami-Dade County,639000,33138,2014
